QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
130664,0.757576,1.01E-05,0,4.33E-05,2.25E-05,0,0.000386342,-0.185605,0.265151,0.973976,-0.204219,0.235809
130674,0.757576,1.01E-05,0,4.33E-05,2.25E-05,0,0.000386342,-0.17281,0.272727,0.978474,-0.191935,0.243561
130684,0.757576,1.01E-05,0,4.33E-05,2.26E-05,0,0.000386342,-0.158947,0.280303,0.983936,-0.178116,0.251313
130695,0.757576,1.01E-05,0,4.33E-05,2.26E-05,0,0.000386342,-0.145746,0.287879,0.984618,-0.165832,0.258834
130704,0.757576,1.01E-05,0,4.33E-05,2.26E-05,0,0.000386342,-0.130996,0.295454,0.98867,-0.150477,0.266587
130714,0.757576,1.01E-05,0,4.33E-05,2.26E-05,0,0.000386342,-0.115505,0.30303,0.992584,-0.135122,0.274223
130724,0.757576,1.01E-05,0,4.33E-05,2.27E-05,0,0.000386342,-0.0987314,0.310606,0.998009,-0.118232,0.281975
130735,0.757576,1.01E-05,0,4.33E-05,2.27E-05,0,0.000386342,-0.0803803,0.318182,1.00537,-0.0998062,0.289843
130744,0.757576,1.01E-05,0,4.33E-05,2.27E-05,0,0.000386342,-0.0613929,0.325757,1.01109,-0.0813805,0.297596
130754,0.757576,1.01E-05,0,4.33E-05,2.28E-05,0,0.000386342,-0.0423411,0.333333,1.01373,-0.0629547,0.305232
130764,0.757576,1.01E-05,0,4.33E-05,2.28E-05,0,0.000386342,-0.0224484,0.340909,1.01647,-0.0429934,0.312753
130775,0.757576,1.01E-05,0,4.33E-05,2.28E-05,0,0.000386342,-0.00229041,0.348485,1.0174,-0.0230322,0.32039
130785,0.757576,1.01E-05,0,4.33E-05,2.28E-05,0,0.000386342,0.0178055,0.35606,1.01594,-0.00307096,0.328142
130794,0.757576,1.01E-05,0,4.33E-05,2.29E-05,0,0.000386342,0.0376915,0.363636,1.01221,0.0168903,0.335663
130804,0.757576,1.01E-05,0,4.33E-05,2.29E-05,0,0.000386342,0.0573336,0.371212,1.00669,0.0368515,0.3433
130814,0.757576,1.01E-05,0,4.33E-05,2.29E-05,0,0.000386342,0.0756932,0.378788,0.996615,0.0552773,0.350936
130825,0.734618,1.01E-05,0,4.33E-05,2.30E-05,0,0.000386342,0.0951218,0.386134,0.984879,0.0737031,0.358457
130834,0.711659,1.01E-05,0,4.33E-05,2.30E-05,0,0.000386342,0.114746,0.39325,0.969065,0.0921288,0.366094
130844,0.688701,1.01E-05,0,4.33E-05,2.30E-05,0,0.000386342,0.13304,0.400137,0.945406,0.109019,0.373615
130854,0.665743,1.01E-05,0,4.33E-05,2.30E-05,0,0.000386342,0.150304,0.406795,0.916911,0.125909,0.380904
130865,0.642785,1.01E-05,0,4.33E-05,2.31E-05,0,0.000386342,0.166869,0.413223,0.885914,0.1428,0.388078
130874,0.619826,1.01E-05,0,4.33E-05,2.31E-05,0,0.000386342,0.183021,0.419421,0.853997,0.15969,0.39502
130884,0.596868,1.01E-05,0,4.33E-05,2.31E-05,0,0.000386342,0.198974,0.42539,0.822093,0.17658,0.401731
130894,0.57391,1.01E-05,0,4.33E-05,2.31E-05,0,0.000386342,0.214867,0.431129,0.790655,0.193471,0.408326
